Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Tocopilla,CL,54.52,scattered clouds,-22.09,-70.2,Hotel Galvarino
87,Sura,YE,64.42,clear sky,13.65,43.82,
88,Quievrain,BE,39.2,clear sky,50.41,3.68,Logis Auberge le XIX ème
90,Pingliang,CN,34.66,clear sky,35.54,106.68,North Gate Hostel
93,Beira,ES,57.0,scattered clouds,43.2,-8.36,Costa Da Egoa
96,Cape Town,ZA,64.99,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
97,Jurm,AF,30.29,clear sky,36.86,70.83,
99,Coquimbo,CL,57.2,broken clouds,-29.95,-71.34,Hotel San Juan
104,Washougal,US,53.6,light rain,45.58,-122.35,Camas Hotel
106,Mar Del Plata,AR,48.6,scattered clouds,-46.43,-67.52,Hotel Costanera Del Sur
108,Ileza,RU,30.11,light snow,61.05,43.9,
111,Moravska Trebova,CZ,41.0,overcast clouds,49.76,16.66,Hotel - Restaurant Třebovská
113,Asyut,EG,62.6,clear sky,27.18,31.19,Florence Hotel Assiut
114,Sitka,US,57.0,clear sky,37.17,-99.65,
118,Nykoping,SE,37.4,broken clouds,58.75,17.01,Clarion Collection Hotel Kompaniet
119,Hualmay,PE,63.72,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
120,Port Elizabeth,US,37.4,clear sky,39.31,-74.98,HAMMER RUN
121,Severo-Kurilsk,RU,31.71,light snow,50.68,156.12,Kak Doma
122,Midleton,IE,42.8,few clouds,51.91,-8.17,Midleton Park Hotel
126,Camacha,PT,66.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
128,Kungur,RU,20.48,broken clouds,57.43,56.94,Hostel Kungur
129,Mahebourg,MU,70.0,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
131,Castro,CL,51.8,light rain,-42.48,-73.76,Hotel Esmeralda
132,Paris,FR,44.01,light rain,48.86,2.35,Citadines Les Halles Paris (Apart Hotel Paris)
135,Paveh,IR,33.8,clear sky,35.05,46.36,Eram Hotel
136,Kenai,US,41.0,clear sky,60.55,-151.26,Aspen Extended Stay Suites
137,Changqing,CN,60.8,scattered clouds,31.81,117.24,Gaosu New Century International Hotel Anhui
141,New Glasgow,CA,34.0,clear sky,45.59,-62.65,Holiday Inn Express Stellarton-New Glasgow
144,Hobart,AU,63.0,few clouds,-42.88,147.33,St Ives Apartments
148,Yuncheng,CN,49.86,clear sky,35.03,111.0,晋州快捷酒店
151,Fuling,CN,52.16,overcast clouds,29.71,107.39,Yingbin Hostel
